ticket_number,article,quantity,unit_price,timestamp
283314,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:11
283315,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:12
283316,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:16
283316,CROISSANT AMANDES,1,1.6,02/09/22 10:16
283317,TRADITIONAL BAGUETTE,3,1.3,02/09/22 10:20
283318,BANETTE,1,1.15,02/09/22 10:21
283319,BAGUETTE,1,1,02/09/22 10:28
283321,CAMPAGNE,1,2,02/09/22 10:33
283322,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:33
283323,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:33
283324,CROISSANT,2,1.2,02/09/22 10:34
283325,BANETTE,1,1.15,02/09/22 10:37
283325,MOISSON,1,2.2,02/09/22 10:37
283326,BAGUETTE,10,1,02/09/22 10:39
283327,BRIOCHE,1,6,02/09/22 10:41
283328,PAIN BANETTE,1,1.6,02/09/22 10:44
283329,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:44
283330,BANETTE,1,1.15,02/09/22 10:46
283331,TRADITIONAL BAGUETTE,1,1.3,02/09/22 10:49
283332,CEREAL BAGUETTE,1,1.35,02/09/22 10:52
283333,TRADITIONAL BAGUETTE,2,1.3,02/09/22 10:55
283334,BANETTE,1,1.15,02/09/22 10:59
283334,TARTELETTE,2,2.2,02/09/22 10:59
283335,PAIN BANETTE,1,1.6,02/09/22 11:00
283336,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:00
283337,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:01
283338,COUPE,1,0.15,02/09/22 11:04
283338,BOULE POLKA,1,1.8,02/09/22 11:04
283339,BANETTINE,1,0.7,02/09/22 11:06
283340,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:07
283341,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:10
283342,COUPE,1,0.15,02/09/22 11:13
283342,CAMPAGNE,1,2,02/09/22 11:13
283343,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:13
283344,FORMULE SANDWICH,2,7,02/09/22 11:15
283345,BANETTE,1,1.15,02/09/22 11:16
283346,FORMULE SANDWICH,1,7,02/09/22 11:20
283347,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:21
283348,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:23
283349,COOKIE,2,1.15,02/09/22 11:24
283349,MOISSON,1,2.2,02/09/22 11:24
283349,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:24
283349,COUPE,1,0.15,02/09/22 11:24
283350,BAGUETTE,1,1,02/09/22 11:25
283351,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:25
283352,CAMPAGNE,1,2,02/09/22 11:25
283353,COUPE,1,0.15,02/09/22 11:27
283353,SEIGLE,1,2,02/09/22 11:27
283353,BANETTINE,1,0.7,02/09/22 11:27
283354,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:28
283355,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:32
283356,BANETTINE,2,0.7,02/09/22 11:36
283356,BOULE 400G,1,1.7,02/09/22 11:36
283357,BANETTE,1,1.15,02/09/22 11:37
283358,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:37
283359,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:37
283360,ECLAIR,2,2.2,02/09/22 11:37
283360,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:37
283361,TRADITIONAL BAGUETTE,1,1.3,02/09/22 11:39
283361,CAMPAGNE,1,2,02/09/22 11:39
283361,COUPE,1,0.15,02/09/22 11:39
283362,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:40
283363,TRADITIONAL BAGUETTE,2,1.3,02/09/22 11:40
283364,COMPLET,1,1.9,02/09/22 11:41
283364,CEREAL BAGUETTE,1,1.35,02/09/22 11:41
